EDR,CIL#,Varone #,Langner #,Insula,Text of Inscription,Caption for graffito,Translation,Commentary ,Tags / Keywords,New Tag Ideas,Is Textual/Translation Greatest Hit?,Commentary for Greatest Hits Page,Is Figural Greatest Hit?,Image for Greatest Hit,Morpholio Tracing,Choose Photos for EDR,EDR images on line,Images Not On-Line,Update EDR apparatus?,Notes,,,,,
EDR140254,10499,,,3,Idibus Ianuarius / mystagogus docens / Gebeum et Ẹṭọẹn / ḷục̣ịạn+ vic̣ic̣,Graffito mentioning a date and someone teaching,"On the Ides of January (?), the guide (religious guide?) teaching Gebeus and Etoe (...other letters here...)","Come back here--- Cicero says mystagogus can be guide who shows you around a site.  μυσταγωγός      A mystagogus is a special kind of priest who inducts initiants into the mystery cult of a particular deity. The fourth line may be written in different hand and therefore not related to the rest of the text. This graffito was found on a upper floor which mean it is no longer accessible. There are two line drawings with differing ideas on what it says, which makes a reading very difficult.","Calendrical, Ides, Month, Religion, Occupations, Priest, People, Personal name(?), Male","teachers,",,,,,,no access (2016),Entry (CIL),,,,,,,,
EDR151816,10500,,,3,Lagoena,Mention of a flask (?),Flasks," Written in charcol (carbone), the Text of CIL IV. 10500 reads lagunas, which Della Corte corrects to “lagoenas”. Lagoenae, or lagunae, were narrow-necked bottles, typically used to serve wine (s.v. Oxford Latin Dictionary, 1982). Alternate spellings include lagona, lagena, and lagoena. The word is adapted from the Greek λαγυνος, o. Cf. CIL VI. 1884 and CIL VI. 8866.



Linguistics:
        Lagoena was originally spelled and pronounced with an ū, equivalent to the Greek υ, given evidence from Plautus, who assonates the y (upsilon) in Greek names with the ū in Latin (see Plautus, Mil. 324; Bacch. 129; Anderson, Andrew R. ""The Use of the Oe-Diphthong in Plautus."" Classical Philology 4, no. 3 (1909): 291-300. http://www.jstor.org/stable/262394). Laguna, then, is an almost direct adaption from the Greek λαγυνος. Merely the gender and the stress, which in the Greek receeds to the α, have been corrupted-though λαγυνος was considered feminine by Greek speakers in Thessaly (s.v. Greek-English Lexicon, Liddell and Scott, 1968). Despite the general rule that the œ reduces to the long ū in Latin (Bennett, Charles. The Latin Language. Boston: Allyn and Bacon, 1907. 9-10), the spelling variant lagoena did not arise until the imperial period (ibid.). 

Appearance and function:
        While not restricted solely to this use, lagunae were most commonly used to carry wine (see CIL VI. 1884 and CIL VI. 8866). They usually had long, narrow necks and big bodies. As Columella states in 10.383-7 “But if you are looking for a gourd of globelike shape which swells out vastly with ample paunch, then choose a seed from the middle of the belly; this will produce capacious fruit fit to make a vessel for Narycian pitch or Attic honey from Hymettus, or a pail handy for water, or a flagon (laguna) of wine.” Furthermore, Columella describes a laguna as having a “wide mouth”. It is unclear whether this applies to all lagunae or a select few (White, K. D. Farm Equipment of the Ancient World. New York: Cambridge University Press, 1975. 161-164).


Further Reading:

Anderson, Andrew R. ""The Use of the Oe-Diphthong in Plautus."" Classical Philology 4, no. 3 (1909): 291-300. http://www.jstor.org/stable/262394 

Petrut, David, and Silvia Mustata. “The iconography of the waiting servants depicted in funerary reliefs from Roman Dacia.” Revista Bistriţei XXIV, 2010, 171-202.

White, K. D. Farm Equipment of the Ancient World. New York: Cambridge University Press, 1975. 161-164.
","Miscellaneous, Industry",,,,,,,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR151818,10501,,,3,M̂ansi solus (e)x s(enatus) c(onsulto),Graffito mentioning a senatorial decree,I remained alone by decree of the senate,This graffito could be a joke becuase Herculaneum is not the typical place for a senatorial exile. Herculaneum is much nicer and closer to Rome thatn other locations that we have evidence for exiling. This graffito is similar to CIL IV.10503 becuase it expresses the same sentiment.,"Politics, Senator, Magistrate","laws, senate, decree, legislation, government, verbs (different parts of speech)",,,,,,no access (2016),None Available (none listed),,,,,,,,
EDR151822,10502,,,3,Vasileus habitat / Pute(o)lis in castris August[i] / su[b] Valeri[o],Graffito mentioning the city of Puteoli,Vasileus lives at Puteoli in the camp of the emperor under (the command of) Valerius,"There are 18 inscriptions with the family name Valerius that are found in Puteoli, most of them are funerary which would suggest the family was wealthy and powerful because they left a presence in Puetoli","People, Personal name, Male, Geography, Puteoli, politics, Political office, Emperor","praenomen, verbs",,,,,,no access (2016),None Available (none listed),,,,,,,,
EDR140036,10503,,,3,Ex se[na]tus con= / sul[to] VVCA / [---]E ICA / m̂ansi solus,Graffito mentioning a senatorial decree,"By decree of the senate (... other letters here...), I remained alone","This graffito is similar to CIL IV.10501, which expresses the same sentiment. This graffito could be a joke becuase Herculaneum is not the typical place for a senatorial exile. Herculaneum is much nicer and closer to Rome thatn other locations that we have evidence for exiling.","Politics, Senator","laws, senate, decree, Herculaneum, verbs",,,,,,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR140137,10504,,,3,MOECIA CC,Graffito,---,,"Roman Numerals, Money",,,,,,In progress: graffito and context,"IMG_5940, IMG_5955, IMG_5984",Photo HGP 2016,"Photo (Varone- don't add), Photo (HGP)",,,,,,,
EDR140142,10505,,,3,Κογιτάτουϲ s,Graffito in Greek,Cogitatus (i.e. a name),"Not a name according to LGPN*    Cogitatus is a name in the Roman world, but here it is written in Greek letters. It did not exist as an equivalent name in the Greek world and is not listed in the Lexicon of Greek Personal Names. Perhaps a Greek speaker was here writing down a name he heard.","Greek, People, Personal name, Male",,,,,,,no access (2016),,Photo (HGP),,,,,,,
EDR140255,10506,,,3,Se(xtus) Porcius / s s,Graffito naming Sextus Porcius,Se(xtus) Porcius / s s,,"People, Personal name, Male, Nomen gentilicium, Praenomen","Praenomen, gentilicium",,,,,,no access (2016),,Photo (HGP?),,,,,,,
EDR140148,10507,,,3,Iusta r(---),Graffito,Iusta (i.e. a name)...,"The text of this graffito, Iusta, could be a woman's name. The second word of the message was never written out in full.",,,,,,,,no access (2016),HGP 2014,Photo (HGP),,,,,,,
EDR140143,10508,a,,3,AMAT̂A,Graffito naming Amata,Amata,,"People, Female",,,,,,In progress: graffito and context,6593,Photo HGP 2016,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140149,10508,b,,3,Algemus,Complaint (?),We are cold.,"There are different interpretations of this graffito. In CIL the reading is ""Alcimus"" which would be a male name. However when Varone went through Herculaneum he read this as the verb ""algemus"" from algeo algere. After looking at the inscription on site, we agreed with Varone's reading.",,Verb,,,,,In progress: graffito and context,6563,"Apograph (Varone 2000b), HGP 2016","Photo (HGP), Photo (Varone- don't add)",,for the commentary cite who reads it as what,,,,,
EDR140140,10509,,,3,Q̣(uintus) Veṭiuṣ,Graffito naming Quintus Vettius,Quintus Vettius,,"People, Personal name, Male","praenomen, gentilicium",,,,,Not Started,"IMG_5979, IMG_5981",HGP 2016,Photo (Varone- don't add); Photo (HGP),,,,,,,
EDR140257,10510,,,3,"XVII k(alendas), X k(alendas), VII id(us)",Graffito mentioning dates,"17 days before the Kalends, 10 days before the Kalends, 7 days before the Ides","This is an example of a graffito with dates, many graffiti had this format. For more on the dating system used in the Roman Empire look to the commentary in CIL IV.10579.","Calender, Kalends, Ides, Date",,,,,,,couldn't find,None Available,,,,,,,,
EDR140198,10511,,,3,Anịciae feliciter,Greetings to Anicia,May things go happily for Anicia.,,"Greetings, Greeting, People, Personal name, Female",,,,,,,no access (2016),,"Photo (Varone - don't add), Photo (HGP)",,,,,,,
EDR140204,10512,,,3,IIII P(ublius) Quin(tilius?),Graffito,"""4"" Publius Quin(tilius?)","This graffito could either be in reference to a name or to a date. If it was a name the P would stand for Publius and the Quin for Quintilius. Quin can also be a n abbreviation for the month Quintilis, which was the orginial fifth month of the calendar year until it got renamed ""Iulius"" for Julius Caesar. If the Quin did stand for Quintilis, the graffito would be a date and the P could be a mistaken reading of a ""K"" which would stand for kalends. Then the meaning of this graffito would be four days before the kalends of Quintilis.","People, Male, Personal name, Praenomen, Nomen gentilicium, Roman Numerals, Tally mark","praenomen, gentilicium",,,,,,no access (2016),,Photo (HGP),,Became a Roman municipium in 89 BC so would have had Roman calendar before the change from Quintilis,,,,,
EDR140165,10513,,,4,Am(andus) / Surus / Ianua va(le),Greetings (?),"Am(andus?), Surus: farewell Ianua(rius?). ","The names here are uncertain; perhaps they are nicknames. Without the ending given, it is possible that the greetings of vale could be addressed to a Ianuarius or a Ianuaria.","Greetings, Greeting, People, Personal name, Female",,,,,,,no access (2016),None Available ,,,,,,,,
EDR140168,10514,,,4,Felices,Graffito,Lucky ones,,,,,,,,,no access (2016),None Available,,,,,,,,
EDR140172,10515,,,4,A(?) Epicurus / si es Utica,Graffito naming Epicurus,"A(ulus?) Epicurus, if you are at Utica . . . ","Utica was a Roman municipium in Northern Africa, it is located near Carthage.","People, Personal name, Male, Geography, Praenomen, Nomen gentilicium",Utica,,,,,,no access (2016),None Available,,,,,,,,
EDR140187,10516,,,4,Q(uintus) V(---) R(---),Initials,Quintus V(- - -) R(- - -),"Has all three parts of a Roman name: praenomen, nomen gentilicium, and the cognomen.","People, Personal name, Male, Praenomen, Cognomen, Nomen gentilicium","Tria nomina, abbreviation",,,,,,,6864,HGP 2016,,,,,,,
EDR140189  ,10517,,,4,Sab(inus?),Beginning of a name,Sab(inus?) (or Sabina?),"Most likely shortened version of the name Sabinus. The ""S"" is no longer fully extant. Varone 2000c mentions a Sabina, may be related.","People, Personal name, Male, Cognomen ",abbreviation,,,,,,,6846,HGP 2016,,,,,,,
EDR140192,10518,,,4,Ara,Graffito,Altar,,Religion,,,,,,,,5271,"Photo (Varone- don't add), HGP 2016",,,,,,,
EDR140171,10519,,,4,Saturnina[e] / matr(i?) / uncus a(ssibus) III,Graffito mentioning a price,"For Saturnina, a mother, a hook that costs three asses (coins).","Women's names were often repeated in a family, so, both sisters in the Domitius family could be named Domitia, or, as here, perhaps the mother and daughter might share the same name, Saturnina.","People, Personal name, Female, Money, Roman Numerals, Tally marks ",,,,,,,plaster lost,None Available,,,,,,,,
EDR140147,10520,,,4,[---]AS[---] conclave Puteolis / [---]LE consistunt Herculanenses naviculae,Graffito mentioning the cities of Puteoli and Herculaneum,... the place at Puteoli... the small Herculanean boats dock.,Puteoli is another ancient city in the Bay of Naples.,"Geography, Puteoli, Demonym, Herculanean",,,,,,Complete,00846  (JFD 2014),"Apograph (CIL), HGP 2014","Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR151829,10521,,,4,Myrine mari,Graffito naming Myrine,Myrine to the sea (?),"Myrine is a transliterated name from the Greek ""Μυρρινε. In the process of transliteration the name is simplified by having a rho drop out from the Greek. Μυρρινε is a popular Greek name and was the name of a character in Aristophanes' play Lysistrata. The name appears elsewhere in Italy - 7 times total, including twice in Pompeii.","People, Personal name, Female, Money, Roman Numerals, Tally marks ","Sea, water",,,,,,plaster lost,None Available,,,,,,,,
EDR151831,10522,,,4,,Graffito,... I asked that you do this... all your affairs... which... safe.,A couple words can be identified but there is a lot of damage to this graffito.,, Verbs,,,,,,couldn't find,,"Apograph (CIL), Apograph (Della Corte)",,,,,,,
EDR140173  ,10523,a,,4,SPI / Oceanus,Graffito naming Oceanus,Hope(?) / Oceanus,SPI perhaps a tria nomina.,"People, Personal name, Cognomen, Religion, God",,,,,,,couldn't find,None Available,,,,,,,,
EDR140176 ,10523,b,,4,ON,Series of letters,---,,,,,,,,,couldn't find,None Available,,,,,,,,
EDR140177,10523,c,,4,assis IIIIHIINII / CCCXXX,Graffito mentioning money,"Coins (...series of characters) / ""330""",,"Roman Numeral, Number, Money, Asses",,,,,,,couldn't find,None Available,,,,,,,,
EDR140170 ,10524,,,4,Ianu(arius?),Beginning of a name (?),Ianu(arius?),Could be a name or the month. Same name mentioned in CIL IV.10697. The month is also referenced in CIL IV.10499.,,,,,,,,couldn't find,None Available,,,,,,,,
EDR140152,10525,,,4,Hyacinthus hic fuit / Verginiam suam,Graffito naming Hyacinthus and Verginia,"Hyacinthus was here, his Verginia...","""Verginiam suam"" being in the accusitive makes this translation tricky.","People, Personal name, Male, Female, Cognomen ",Verbs,,,,,Complete,,Apograph (CIL),"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR145942 ,10526,,213,4,Proculus ((:herma viri)),Graffito naming Proculus,Proculus,This graffito is accompanied by the bust of a man possibly meant to represent Proculus.,"People, Personal name, Male, Human Figures, Bust",,,,,,,plaster lost,None Available,,,,,,,,
EDR140174,10527,,,4,vasa,Mention of a vase,Vase,This graffito was found in the Taberna Vasaria where many wine vases were found.,"Miscellaneous, Industry","Houseware, pottery",,,,,,no access (2016),None Available,,,,,,,,
EDR127408 & EDR140190,10528,,1055,4,((:gladiatores inter se dimicantes)) Euhodus / et Satura / Puteolani,Graffito naming two individuals from Puteoli,"Euhodus and Satura, from Puteoli",A picture of two gladiators fighting accompanied the textual graffito.,"People, Personal name, Male, Geography, Puteoli, Gladiators, Gladiator contest, Pair of gladiators, Advertising/Public Notices",Text-and-drawing,,,,,,no access (2016),None Available,,,,,,,,
EDR112869,10529,,,4,"Διογένης ὁ κυνικὸς φιλόσοφος / ἰδὼν γυναῖκα ὑπὸ ποταμοῦ φε / ρομένην, εἶπεν· ἄφες φέρεσθαι / τὸ κακ⌜ὸ⌝ν ὑπὸ κα`κοῦ´ ΚΙΥΣ",Graffito about Diogenes the Cynic philosopher,"Diogenes the Cynic philospher, seeing a woman being carried off by the river, said: let the bad thing be carried away by the worse.",Diogenes was a 4th Century BC Athenian philospher. He was a founder of the philosophy Cynicism. ,"People, Personal name, Male, Language, Greek, Occupations, Quotation, Miscellaneous, Philosophy","philosopher, Diogenes",,,,,,no access (2016),,"Apograph (CIL), Photo (HGP), Apograph (Della Corte)",,,,,,,
EDR151835,10530,,,4,Est res in co(n)sid[- - -],Graffito,The matter is in ...,,Verb,Verbs,,,,,,no access (2016),None Available,,,,,,,,
EDR140205  ,10531,,,4,Pri(mi)genio s(alutem),Greetings to Primigenius,Hello to Primigenius.,"The feminine version of this name, Primigenia, is mentioned in CIL IV.10676.","Greetings, People, Personal name, Cognomen",,,,,,,no access (2016),None Available,,,,,,,,
EDR144354,10532,,11 & 12,4,"Θ / Faustus / Nothus / Nothus ((:nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis)) ((:names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice))",Names written in the shape of boats,Θ Faustus Nothus Nothus,"Each word in this graffito are written in technopaegnion as ships. The first line has the Greek letter theta, in this case it is the theta nigrum which signifies death. The theta stands for the Greek word θανατοσ which means death. The theta nigrum was used in military documents to show deceased soldiers, inscriptions for gladiators who died outside of the arena due to wounds from fighting, and some various funerary inscriptions.","People, Personal name, Male, Cognomen",,,,,,,no access (2016),"Apograph (Langner), Photo (Varone)",No Photo (HGP),,,,,,,
EDR140220,10533,,,4,Alica,Mention of food,Porridge ,"Porridge or drink made with wheat or spelt. Follow up on alicaria, another name for a prostitute (see CIL IV.4001)- s.v. Oxford Latin dictionary","Advertising/Public Notice, Food",,,,,,,no access (2016),Photo (Varone),No Photo (HGP),,,,,,,
EDR140224,10534,,,4,[---]gius A(ulo) Tertio s(alutem) / salutem,Greetings to Aulus Tertius,[---]gius says hello to Aulus Tertius. Hello!,"The first line includes both names and the ""s"" whereas the second line has ""salutem"" written out fully. It could be that the author ran out of room on the first line to fully write out the word.","People, names, men, salutations/introductions, greetings/hellos, salutem, writing/wordplay, ","praenomen,",,,,,,no access (2016),,Photo (Varone- don't add),,,,,,,
EDR140230 ,10535,,,4,Anicete va(le),Greetings to Anicetus,"Goodbye, Anicetus",,"salutations/introductions, farewells/goodbyes, va, ",,,,,,,no access (2016),None Available,,,,,,,,
EDR158823,10535 (nota),,,4,((:phallus)),Drawing of a phallus,,,"Drawings, penis, phallus, sexual anatomy, ",,,,,,,,,,,,,,,,
EDR140231,10536,,,4,augu,Graffito,(Something about augury or the emperor?),,,,,,,,,no access (2016),None Available,,,,,,,,
EDR140237,10537,,,4,Vibidi,Graffito naming Vibidius (?),Of Vibidius (?) OR Vibidi(us...?),"Vibidius is a nomen gentilicium and appears througout the Italian peninsula. It also appears twice in the catalogue of names at Herculaneum CIL X.01403. There is appears as the nomen gentilicium of two freedmen, who would have taken that name from their master. Both of the Vibidius' mentioned are freedmen of Aulus Vibidius which we can tell becasue both names say freedmen of Aulus, and becuase it is customary for a freedmen to take the praenomen of his master. This shows that the Vibidius fmaily in Herculaneum owned slaves and was wealthy. ",,,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140213,10538,,,4,Cereales sint Cumis,Graffito mentioning the city of Cumae,Cerialis and Cerialis might be at Cumae.,"It may be that Cereales is the plural of the name Cerealis meaning that two people named Cerealis are at Cumae, which is in the locative case in the graffito.",,Verbs,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140217,10539,,,4,ovas EVCL E VA M X P vectat,Series of letters,You rejoice (...other letters here...) it carries.,"""Ovas"" also appears in CIL IV.10603.",,,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140219   ,10540,,,4,[---]lius CINT genius suae sal(utem) / [---]CIN N AGIO GORC R,Greetings,[---]lius sends greetings to his (girlfriend?). (...other letters here...),,"Greeting, people, names, men, ",Verbs,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140221 ,10541,,,4,si VOL cum Marcello bona[---],Graffito naming Marcellus,If (...) with Marcellus good (...?),"""Vol"" could be read as ""voles"" or ""volet""","people, names, men, ","verbs, ",,,,,,no access (2016),Photo (Varone),No Photo (HGP),,,,,,,
EDR140223,10542,,,4,PPP redire redire si minus innecteb et te [---],Poetic graffito (?),"To return, to return, if (I? he? she?) was not entangling (being entangled?) ... and you...",PPP may be a tria nomina.,,"Verbs,",,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140226  ,10543,,,4,Secundus quo Hectic[+10?+]rimam s[alutem?],Greetings from Secundus,"Secundus, from whom Hectic(...?) many greetings.","See Varone for SALVTEM (it's possible he's wrong). Come back and look at this, because CIL says that CIL IV.10543 and CIL IV.10544 are mixed together.","People, names, men, cognomen, women, greeting",,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140232 ,10544,,,4,suis P ave VIBAN,Greetings (?),Greetings to his own (family? friends?). May they live...,"Come back and look at this, because CIL says that CIL IV.10543 and CIL IV.10544 are mixed together.","greeting, people, names, men",abbreviation,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140233  ,10545,,,4,v̂ale Procam̂u,Greetings to Procamus,"Goodbye, Procamus","The two verticle lines of the ""u"" may be two ""II"" for the vocative ""e"". The Graffito may actually mean ""Procame"".","salutations/introductions, farewells/goodbyes, vale, people, names, men, ",Nexus,,,,,,no access (2016),,Photo (Varone - don't add),,,,,,,
EDR140235 ,10546,a,,4,IIII,Tally marks,"""4""","Located in a back room of the ""Grand Taberna"", these tallies were possibly  some sort of inventory.","numerical, Tally Marks",,,,,,Complete,6205,HGP 2016,,,,,,,,
EDR142437 ,10546,b,,4,XI,Tally marks,"""11""","Located in a back room of the ""Grand Taberna"", these tallies were possibly some sort of inventory.","numerical, Number ",,,,,,Complete,6208,HGP 2016,,,,,,,,
EDR140131,10547,,,4,Crocale / barbata,Graffito naming Crocale,Bearded Crocale,"Crocale is a female name and the adjective barbata meaning bearded agrees with that, therefore this graffito is an insult.","People, Personal name, Female, Greek, Language",,,,,,Complete,6538,HGP 2014,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140669,10548,,,4,Rufûla pus,Graffito naming Rufula,"Rufula, 5 1/2 pounds ","Many different possibilities exist for these final three letters. Della Corte first suggested ... pondo v semis... Or perhaps only part of the word was written and the writer meant to inscribe pusilla (very small or petty), pusulata (blistered, refined) or pusillanimis (timid, faint-hearted- but late authors)","People, names","leadership: should we read ""p. U. S."" Or ""pus?"" ",,,,,,no access (2016),,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140199   ,10549,,,4,Eueno,Graffito mentioning a name (?),to Euenus? ,"Euenus could be a name, though it is very rare. It is only known thus far from one wax tablet near Pompeii, one inscription at Ostia, and three funerary inscriptions from Rome",,,,,,,,no access (2016),None Available,,,,,,,,
EDR140203,10550,,,4,XXVIIII,Roman numerals,"""29""",,"numerical, Number",,,,,,,no access (2016),None Available,,,,,,,,
EDR140208,10551,,,4,Mercurius,Graffito naming Mercurius,Mercurius,"This is possibly referencing the Roman god Mercury, or someone's personal name.","Religion, God ",,,,,,,no access (2016),None Available,,,,,,,,
EDR140210 ,10552,,,4,IIIIIIIIIII,Tally marks,"""11""",,"numerical, tally marks",,,,,,,no access (2016),None Available,,,,,,,,
EDR140234   ,10553,,,4,P(ublius) Septumius,Graffito naming Publius Septumius,Publius Septumius,,"people, names, men","praenomen, gentilicium",,,,,,no access (2016),None Available,,,,,,,,
EDR142438   ,10554,a,,4,Q(uintus) La(elius?),Graffito mentioning a name (?),Q(uintus) La(elius?),"These letters could be three initials, or it could just be the shortened name Quintus Laelius.","People, names, men, praenomen, nomen gentilicium",,,,,,,no access (2016),Apograph (CIL),,,,,,,,
EDR142439,10554,b,,4,Ulna O(r)dinius(?),Series of characters,(Incomprehensible series of characters),"Ulna, meaning forearm, can be a measurement. It would be similar to our modern foot measurement which comes from the body part foot. This graffito is one of a couple that are definitely markings on the wall, but is difficult to identify letters or words. Some of the markings on this graffito seem more like characters and less like letters from the Roman alphabet. CIL IV.10555 has a similar representation","People, names, men","body, body part",,,,,,no access (2016),Apograph (CIL),,,,,,,,
EDR142440  ,10555,a,,4,[---]FIOPEOEI[---] / [---]FIOPIDMN[---],Series of characters,(Incomprehensible series of characters),"The text of the graffito seems to be characters, not all of them are letters in the Roman alphabet. This graffito unfortunately no longer exists and we have to use CIL to understand it, however CIL does not have a clear representation. CIL IV.10554b is the same way.",,,,,,,,no access (2016),Apograph (CIL),,,,,,,,
